token_count,file_name
184,gold_full/Banco/CasaVerso/BD1-00580 - Cómo funciona la inteligencia artificial en CASAVERSO.md
102,gold_full/Banco/CasaVerso/BD1-00581 - Cómo puedo crear una cuenta en CASAVERSO.md
61,gold_full/Banco/CasaVerso/BD1-00582 - El Nuevo Portal CASAVERSO es de BancoEstado.md
46,gold_full/Banco/CasaVerso/BD1-00583 - El Nuevo Portal CASAVERSO es seguro.md
77,gold_full/Banco/CasaVerso/BD1-00584 - Es seguro compartir mi información personal en CASAVERSO.md
39,gold_full/Banco/CasaVerso/BD1-00585 - Hay propiedades para arriendo.md
45,gold_full/Banco/CasaVerso/BD1-00586 - Hay propiedades usadas.md
78,gold_full/Banco/CasaVerso/BD1-00587 - Para avanzar a la preaprobación me solicita registrar las credenciales BancoEstado del sitio web esto es correcto.md
163,gold_full/Banco/CasaVerso/BD1-00588 - Qué beneficios pueden identificar las personas al utilizar el Portal de CASAVERSO.md
96,gold_full/Banco/CasaVerso/BD1-00589 - Qué es CASAVERSO.md
54,gold_full/Banco/CasaVerso/BD1-00590 - Qué funcionalidades puedo acceder al registrar mis credenciales BancoEstado.md
103,gold_full/Banco/CasaVerso/BD1-00591 - Qué pasa cuando envío una solicitud de aprobación de crédito hipotecario.md
50,gold_full/Banco/CasaVerso/BD1-00592 - Qué pasa si no recuerdo mis credenciales de la Bance en línea.md
58,gold_full/Banco/CasaVerso/BD1-00593 - Si soy cliente del BancoEstado puedo ingresar con mis credenciales del banco.md
55,gold_full/Banco/Negocio/BD1-00594 - Antigüedad y Situación Laboral para Solicitar Crédito Hipotecario.md
92,gold_full/Banco/Negocio/BD1-00595 - Buen comportamiento y endeudamiento.md
280,gold_full/Banco/Negocio/BD1-00596 - Complementación de Renta Crédito Hipotecario.md
127,gold_full/Banco/Negocio/BD1-00597 - Financiamiento para Solicitar Crédito Hipotecario.md
77,gold_full/Banco/Negocio/BD1-00598 - Ley 21.389 de Pensiones.md
51,gold_full/Banco/Negocio/BD1-00599 - Nacionalidad para Solicitar Crédito Hipotecario.md
49,gold_full/Banco/Negocio/BD1-00600 - Pie para solicitar Crédito Hipotecario.md
280,gold_full/Banco/Negocio/BD1-00601 - Rango de Edad Minima y Maxima para solicitar Crédito Hipotecario.md
256,gold_full/Banco/Negocio/BD1-00602 - Renta líquida Mínima para Solicitar Crédito Hipotecario.md
522,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00033 - Qué documentos debes guardar para mantener en orden tus gastos_v1.0.md
370,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00034 - Cuidado con el sobreendeudamiento_v1.0.md
964,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00035 - Aprende a renegociar una deuda_v1.0.md
526,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00036 - Cómo calcular tu capacidad de pago_v1.0.md
964,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00037 - Aprende a renegociar una deuda_v1.0.md
1007,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00038 - Lo que debes saber antes de solicitar un crédito_v1.0.md
624,gold_full/Educacion Financiera/Cuidar Tu Dinero/Detalle Cuidar Tu Dinero/BD1-00039 - La importancia del endeudamiento informado_v1.0.md
